"Libellé";"Démographie - Population au début du mois - France (inclus Mayotte à partir de 2014)";"Codes"
"idBank";"001641607";""
"Dernière mise à jour";"29/11/2024 12:00";""
"Période";"";""
"2024-11";"68551";"P"
"2024-10";"68533";"P"
"2024-09";"68512";"P"
"2024-08";"68490";"P"
"2024-07";"68467";"P"
"2024-06";"68448";"P"
"2024-05";"68427";"P"
"2024-04";"68409";"P"
"2024-03";"68394";"P"
"2024-02";"68380";"P"
"2024-01";"68373";"P"
"2023-12";"68356";"P"
"2023-11";"68339";"P"
"2023-10";"68320";"P"
"2023-09";"68298";"P"
"2023-08";"68274";"P"
"2023-07";"68248";"P"
"2023-06";"68223";"P"
"2023-05";"68201";"P"
"2023-04";"68184";"P"
"2023-03";"68167";"P"
"2023-02";"68152";"P"
"2023-01";"68143";"P"
"2022-12";"68141";"P"
"2022-11";"68123";"P"
"2022-10";"68104";"P"
"2022-09";"68080";"P"
"2022-08";"68055";"P"
"2022-07";"68031";"P"
"2022-06";"68004";"P"
"2022-05";"67979";"P"
"2022-04";"67964";"P"
"2022-03";"67947";"P"
"2022-02";"67934";"P"
"2022-01";"67927";"P"
"2021-12";"67914";"P"
"2021-11";"67892";"P"
"2021-10";"67867";"P"
"2021-09";"67839";"P"
"2021-08";"67812";"P"
"2021-07";"67783";"P"
"2021-06";"67756";"P"
"2021-05";"67735";"P"
"2021-04";"67719";"P"
"2021-03";"67704";"P"
"2021-02";"67697";"P"
"2021-01";"67697";"A"
"2020-12";"67687";"A"
"2020-11";"67679";"A"
"2020-10";"67657";"A"
"2020-09";"67628";"A"
"2020-08";"67598";"A"
"2020-07";"67563";"A"
"2020-06";"67532";"A"
"2020-05";"67503";"A"
"2020-04";"67497";"A"
"2020-03";"67483";"A"
"2020-02";"67462";"A"
"2020-01";"67442";"A"
"2019-12";"67430";"A"
"2019-11";"67417";"A"
"2019-10";"67397";"A"
"2019-09";"67375";"A"
"2019-08";"67352";"A"
"2019-07";"67329";"A"
"2019-06";"67309";"A"
"2019-05";"67291";"A"
"2019-04";"67277";"A"
"2019-03";"67267";"A"
"2019-02";"67264";"A"
"2019-01";"67258";"A"
"2018-12";"67238";"A"
"2018-11";"67215";"A"
"2018-10";"67188";"A"
"2018-09";"67159";"A"
"2018-08";"67130";"A"
"2018-07";"67100";"A"
"2018-06";"67072";"A"
"2018-05";"67046";"A"
"2018-04";"67027";"A"
"2018-03";"67018";"A"
"2018-02";"67005";"A"
"2018-01";"66992";"A"
"2017-12";"66980";"A"
"2017-11";"66962";"A"
"2017-10";"66939";"A"
"2017-09";"66916";"A"
"2017-08";"66890";"A"
"2017-07";"66864";"A"
"2017-06";"66840";"A"
"2017-05";"66819";"A"
"2017-04";"66800";"A"
"2017-03";"66784";"A"
"2017-02";"66774";"A"
"2017-01";"66774";"A"
"2016-12";"66769";"A"
"2016-11";"66757";"A"
"2016-10";"66741";"A"
"2016-09";"66721";"A"
"2016-08";"66700";"A"
"2016-07";"66677";"A"
"2016-06";"66657";"A"
"2016-05";"66641";"A"
"2016-04";"66630";"A"
"2016-03";"66623";"A"
"2016-02";"66613";"A"
"2016-01";"66603";"A"
"2015-12";"66588";"A"
"2015-11";"66572";"A"
"2015-10";"66555";"A"
"2015-09";"66533";"A"
"2015-08";"66512";"A"
"2015-07";"66491";"A"
"2015-06";"66470";"A"
"2015-05";"66451";"A"
"2015-04";"66438";"A"
"2015-03";"66431";"A"
"2015-02";"66430";"A"
"2015-01";"66422";"A"
"2014-12";"66403";"A"
"2014-11";"66381";"A"
"2014-10";"66354";"A"
"2014-09";"66325";"A"
"2014-08";"66296";"A"
"2014-07";"66267";"A"
"2014-06";"66239";"A"
"2014-05";"66214";"A"
"2014-04";"66193";"A"
"2014-03";"66172";"A"
"2014-02";"66153";"A"
"2014-01";"66131";"A"
"2013-12";"65879";"A"
"2013-11";"65849";"A"
"2013-10";"65816";"A"
"2013-09";"65782";"A"
"2013-08";"65745";"A"
"2013-07";"65709";"A"
"2013-06";"65678";"A"
"2013-05";"65647";"A"
"2013-04";"65622";"A"
"2013-03";"65603";"A"
"2013-02";"65585";"A"
"2013-01";"65565";"A"
"2012-12";"65541";"A"
"2012-11";"65514";"A"
"2012-10";"65483";"A"
"2012-09";"65449";"A"
"2012-08";"65415";"A"
"2012-07";"65382";"A"
"2012-06";"65352";"A"
"2012-05";"65323";"A"
"2012-04";"65298";"A"
"2012-03";"65278";"A"
"2012-02";"65262";"A"
"2012-01";"65241";"A"
"2011-12";"65219";"A"
"2011-11";"65195";"A"
"2011-10";"65168";"A"
"2011-09";"65138";"A"
"2011-08";"65106";"A"
"2011-07";"65074";"A"
"2011-06";"65044";"A"
"2011-05";"65016";"A"
"2011-04";"64993";"A"
"2011-03";"64971";"A"
"2011-02";"64952";"A"
"2011-01";"64933";"A"
"2010-12";"64911";"A"
"2010-11";"64883";"A"
"2010-10";"64854";"A"
"2010-09";"64823";"A"
"2010-08";"64791";"A"
"2010-07";"64759";"A"
"2010-06";"64730";"A"
"2010-05";"64703";"A"
"2010-04";"64677";"A"
"2010-03";"64654";"A"
"2010-02";"64634";"A"
"2010-01";"64613";"A"
"2009-12";"64588";"A"
"2009-11";"64562";"A"
"2009-10";"64534";"A"
"2009-09";"64502";"A"
"2009-08";"64470";"A"
"2009-07";"64437";"A"
"2009-06";"64408";"A"
"2009-05";"64380";"A"
"2009-04";"64356";"A"
"2009-03";"64333";"A"
"2009-02";"64316";"A"
"2009-01";"64305";"A"
"2008-12";"64281";"A"
"2008-11";"64253";"A"
"2008-10";"64223";"A"
"2008-09";"64189";"A"
"2008-08";"64155";"A"
"2008-07";"64120";"A"
"2008-06";"64089";"A"
"2008-05";"64057";"A"
"2008-04";"64029";"A"
"2008-03";"64005";"A"
"2008-02";"63984";"A"
"2008-01";"63962";"A"
"2007-12";"63935";"A"
"2007-11";"63907";"A"
"2007-10";"63875";"A"
"2007-09";"63840";"A"
"2007-08";"63804";"A"
"2007-07";"63769";"A"
"2007-06";"63737";"A"
"2007-05";"63703";"A"
"2007-04";"63677";"A"
"2007-03";"63649";"A"
"2007-02";"63626";"A"
"2007-01";"63601";"A"
"2006-12";"63569";"A"
"2006-11";"63534";"A"
"2006-10";"63495";"A"
"2006-09";"63455";"A"
"2006-08";"63415";"A"
"2006-07";"63377";"A"
"2006-06";"63341";"A"
"2006-05";"63302";"A"
"2006-04";"63271";"A"
"2006-03";"63240";"A"
"2006-02";"63213";"A"
"2006-01";"63186";"A"
"2005-12";"63150";"A"
"2005-11";"63111";"A"
"2005-10";"63069";"A"
"2005-09";"63024";"A"
"2005-08";"62978";"A"
"2005-07";"62934";"A"
"2005-06";"62894";"A"
"2005-05";"62854";"A"
"2005-04";"62817";"A"
"2005-03";"62789";"A"
"2005-02";"62764";"A"
"2005-01";"62731";"A"
"2004-12";"62692";"A"
"2004-11";"62650";"A"
"2004-10";"62607";"A"
"2004-09";"62563";"A"
"2004-08";"62518";"A"
"2004-07";"62471";"A"
"2004-06";"62428";"A"
"2004-05";"62390";"A"
"2004-04";"62352";"A"
"2004-03";"62317";"A"
"2004-02";"62283";"A"
"2004-01";"62251";"A"
"2003-12";"62219";"A"
"2003-11";"62183";"A"
"2003-10";"62143";"A"
"2003-09";"62102";"A"
"2003-08";"62077";"A"
"2003-07";"62035";"A"
"2003-06";"61997";"A"
"2003-05";"61956";"A"
"2003-04";"61920";"A"
"2003-03";"61887";"A"
"2003-02";"61855";"A"
"2003-01";"61824";"A"
"2002-12";"61789";"A"
"2002-11";"61753";"A"
"2002-10";"61713";"A"
"2002-09";"61671";"A"
"2002-08";"61628";"A"
"2002-07";"61585";"A"
"2002-06";"61548";"A"
"2002-05";"61508";"A"
"2002-04";"61473";"A"
"2002-03";"61440";"A"
"2002-02";"61411";"A"
"2002-01";"61385";"A"
"2001-12";"61354";"A"
"2001-11";"61319";"A"
"2001-10";"61278";"A"
"2001-09";"61238";"A"
"2001-08";"61198";"A"
"2001-07";"61156";"A"
"2001-06";"61117";"A"
"2001-05";"61077";"A"
"2001-04";"61041";"A"
"2001-03";"61006";"A"
"2001-02";"60974";"A"
"2001-01";"60941";"A"
"2000-12";"60906";"A"
"2000-11";"60870";"A"
"2000-10";"60831";"A"
"2000-09";"60791";"A"
"2000-08";"60749";"A"
"2000-07";"60707";"A"
"2000-06";"60668";"A"
"2000-05";"60627";"A"
"2000-04";"60591";"A"
"2000-03";"60557";"A"
"2000-02";"60529";"A"
"2000-01";"60508";"A"
"1999-12";"60480";"A"
"1999-11";"60449";"A"
"1999-10";"60415";"A"
"1999-09";"60376";"A"
"1999-08";"60338";"A"
"1999-07";"60298";"A"
"1999-06";"60261";"A"
"1999-05";"60225";"A"
"1999-04";"60193";"A"
"1999-03";"60166";"A"
"1999-02";"60146";"A"
"1999-01";"60123";"A"
"1998-12";"60107";"A"
"1998-11";"60088";"A"
"1998-10";"60067";"A"
"1998-09";"60042";"A"
"1998-08";"60018";"A"
"1998-07";"59992";"A"
"1998-06";"59971";"A"
"1998-05";"59952";"A"
"1998-04";"59936";"A"
"1998-03";"59925";"A"
"1998-02";"59915";"A"
"1998-01";"59899";"A"
"1997-12";"59882";"A"
"1997-11";"59866";"A"
"1997-10";"59846";"A"
"1997-09";"59825";"A"
"1997-08";"59806";"A"
"1997-07";"59782";"A"
"1997-06";"59759";"A"
"1997-05";"59738";"A"
"1997-04";"59719";"A"
"1997-03";"59704";"A"
"1997-02";"59693";"A"
"1997-01";"59691";"A"
"1996-12";"59680";"A"
"1996-11";"59663";"A"
"1996-10";"59643";"A"
"1996-09";"59622";"A"
"1996-08";"59601";"A"
"1996-07";"59577";"A"
"1996-06";"59555";"A"
"1996-05";"59535";"A"
"1996-04";"59520";"A"
"1996-03";"59506";"A"
"1996-02";"59496";"A"
"1996-01";"59487";"A"
"1995-12";"59476";"A"
"1995-11";"59459";"A"
"1995-10";"59437";"A"
"1995-09";"59416";"A"
"1995-08";"59395";"A"
"1995-07";"59372";"A"
"1995-06";"59350";"A"
"1995-05";"59331";"A"
"1995-04";"59319";"A"
"1995-03";"59304";"A"
"1995-02";"59291";"A"
"1995-01";"59281";"A"
"1994-12";"59263";"A"
"1994-11";"59245";"A"
"1994-10";"59226";"A"
"1994-09";"59207";"A"
"1994-08";"59188";"A"
"1994-07";"59166";"A"
"1994-06";"59145";"A"
"1994-05";"59122";"A"
"1994-04";"59105";"A"
"1994-03";"59090";"A"
"1994-02";"59078";"A"
"1994-01";"59070";"A"
